humidity,kelembabanTanah,tdsValue,temperature,waterLevel,time
50,60.75702,288,34,High,13:13:24
52,61.19658,182,33,High,10:59:24
52,61.31868,181,33,High,10:58:24
52,61.3431,182,33,High,10:57:24
52,61.3431,180,33,High,10:55:24
52,61.36752,180,33,High,11:00:24
53,61.44078,181,32,High,10:47:24
52,61.44078,181,33,High,10:56:24
52,61.53846,180,33,High,10:54:24
50,61.61172,178,34,High,11:47:24
50,61.61172,179,34,High,11:48:24
52,61.63614,180,33,High,10:50:24
52,61.63614,180,33,High,10:53:24
52,61.66056,180,33,High,10:52:24
52,61.7094,180,32,High,10:49:24
52,61.7094,180,32,High,10:48:24
52,61.73382,180,32,High,10:51:24
50,61.75824,173,34,High,11:46:24
50,61.78266,177,33,High,11:45:24
50,61.80708,176,33,High,11:44:24
51,61.8315,177,33,High,11:42:24
50,61.85592,175,33,High,11:43:24
51,61.85592,176,33,High,11:41:24
53,61.92918,179,32,High,10:38:21
53,61.9536,181,32,High,10:41:24
51,62.02686,175,33,High,11:40:24
53,62.05128,181,32,High,10:40:23
51,62.10012,173,33,High,11:39:24
52,62.17338,179,32,High,10:43:24
51,62.22222,170,33,High,11:38:24
53,62.22222,176,32,High,10:39:22
53,62.24664,176,32,High,10:37:20
53,62.51526,177,32,High,10:42:24
52,62.5641,177,32,High,10:44:24
52,62.61294,175,32,High,10:45:24
50,62.61294,173,34,High,11:49:24
51,62.61294,172,33,High,11:37:24
50,62.63736,169,34,High,11:51:24
54,62.63736,170,32,High,10:35:18
53,62.71062,171,32,High,10:34:17
50,62.78388,213,34,High,13:15:24
54,62.83272,166,32,High,10:29:24
53,62.83272,169,32,High,10:36:19
51,62.85714,159,33,High,11:59:24
50,62.88156,165,34,High,11:50:24
54,62.88156,168,32,High,10:33:16
50,62.88156,160,33,High,11:53:24
53,62.90598,163,32,High,10:32:15
50,62.90598,163,33,High,11:52:24
53,62.90598,163,32,High,10:32:26
52,62.9304,177,32,High,10:46:24
53,62.95482,168,32,High,10:32:56
53,62.95482,168,32,High,10:33:06
50,62.97924,163,33,High,11:55:24
50,63.0525,160,33,High,11:54:24
54,63.12576,167,32,High,10:32:05
49,63.22344,158,33,High,11:57:24
54,63.27228,164,32,High,10:31:54
54,63.27228,164,32,High,10:31:24
49,63.27228,163,34,High,11:56:24
54,63.27228,164,32,High,10:31:56
54,63.27228,164,32,High,10:30:24
54,63.34554,162,32,High,10:32:36
50,63.36996,160,34,High,11:58:24
54,63.39438,161,32,High,10:32:46
51,63.4188,153,33,High,11:31:24
51,63.5409,162,33,High,11:32:24
51,63.58974,157,33,High,11:33:24
50,63.63858,274,34,High,13:09:24
50,63.663,160,33,High,11:34:24
51,63.663,161,33,High,11:36:24
54,63.663,152,32,High,10:23:21
54,63.663,152,32,High,10:23:31
51,63.71185,160,34,High,12:29:24
54,63.71185,157,32,High,10:23:40
54,63.71185,152,32,High,10:24:11
54,63.71185,152,32,High,10:24:01
54,63.73626,153,32,High,10:28:46
51,63.73626,160,34,High,12:24:24
51,63.7851,160,34,High,12:28:24
50,63.7851,159,33,High,11:35:24
54,63.7851,158,32,High,10:24:25
54,63.7851,158,32,High,10:24:36
51,63.7851,160,34,High,12:26:24
51,63.80952,156,34,High,12:27:24
54,63.80952,157,32,High,10:23:00
51,63.80952,153,34,High,12:21:24
54,63.83394,151,32,High,10:25:12
54,63.83394,151,32,High,10:25:06
54,63.88278,156,32,High,10:24:46
54,63.88278,152,32,High,10:25:56
51,63.88278,159,34,High,12:23:24
54,63.88278,156,32,High,10:23:51
54,63.88278,150,32,High,10:24:20
54,63.88278,150,32,High,10:24:23
54,63.88278,152,32,High,10:26:06
51,63.9072,156,33,High,11:30:16
51,63.9072,156,33,High,11:30:06
54,63.9072,155,32,High,10:28:26
50,63.93163,160,34,High,12:39:24
50,63.93163,253,34,High,13:08:24
54,63.93163,152,32,High,10:23:11
51,63.93163,156,33,High,11:29:56
54,63.93163,152,32,High,10:26:16
50,63.95604,223,34,High,13:26:11
54,63.95604,151,32,High,10:25:42
54,63.95604,151,32,High,10:25:45
54,63.98046,154,32,High,10:26:36
54,63.98046,154,32,High,10:26:46
54,63.98046,156,32,High,10:28:36
54,63.98046,155,32,High,10:27:56
54,64.00488,156,32,High,10:25:23
54,64.00488,152,32,High,10:27:24
54,64.00488,154,32,High,10:24:56
50,64.0293,222,34,High,13:26:16
51,64.0293,158,34,High,12:25:24
50,64.0293,222,34,High,13:26:13
50,64.05373,222,34,High,13:26:57
54,64.05373,149,32,High,10:28:16
54,64.05373,149,32,High,10:28:06
51,64.05373,151,33,High,12:09:17
54,64.05373,149,32,High,10:27:46
50,64.05373,217,34,High,13:16:24
54,64.05373,157,32,High,10:25:33
49,64.05373,222,34,High,13:27:37
51,64.05373,154,34,High,12:20:24
51,64.07815,160,34,High,12:32:24
50,64.07815,223,34,High,13:27:17
50,64.07815,223,34,High,13:27:07
50,64.07815,222,34,High,13:26:37
50,64.07815,222,34,High,13:26:27
51,64.10256,157,34,High,12:31:24
51,64.10256,151,34,High,12:08:36
51,64.10256,151,34,High,12:08:35
51,64.10256,151,34,High,12:08:33
51,64.10256,155,33,High,11:02:24
51,64.10256,155,33,High,11:29:36
51,64.10256,155,33,High,11:01:24
51,64.10256,155,33,High,11:29:32
50,64.12698,144,34,High,12:38:24
51,64.12698,155,34,High,12:22:24
50,64.15141,287,34,High,13:11:24
50,64.15141,163,34,High,12:36:24
49,64.17583,221,34,High,13:27:58
49,64.17583,221,34,High,13:27:47
50,64.17583,279,34,High,13:10:24
51,64.17583,152,34,High,12:10:37
51,64.20024,151,33,High,12:10:57
54,64.20024,155,32,High,10:26:26
51,64.22466,149,34,High,12:10:47
51,64.22466,156,33,High,11:29:46
50,64.22466,161,34,High,12:37:24
51,64.27351,146,34,High,12:10:24
51,64.27351,132,34,High,12:11:07
51,64.27351,132,34,High,12:11:17
51,64.27351,156,33,High,11:30:26
51,64.29793,145,34,High,12:11:37
